painting,rankAtSale,artist,yearOfPainting,adjustedPrice,originalPriceInDollars,dateOfSale,yearOfSale,seller,buyer,auctionHouse,image,paintingWikipediaProfile,artistWikipediaProfile,description,size,value,originalPrice,id
A Wheatfield with Cypresses,6,Vincent van Gogh,1889,"$93,700,000 ","$57,000,000 ",1/5/93,1993,Son of Emil Georg Bührle,Walter H. Annenberg,Private sale,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Wheat-Field-with-Cypresses-%281889%29-Vincent-van-Gogh-Met.jpg/1200px-Wheat-Field-with-Cypresses-%281889%29-Vincent-van-Gogh-Met.jpg,http://en.wikipedia.org/wiki/A_Wheatfield_with_Cypresses,http://en.wikipedia.org/wiki/Vincent_van_Gogh,"A Wheatfield with Cypresses (occasionally called A Cornfield with Cypresses) is any of three similar 1889 oil paintings by Vincent van Gogh, as part of his wheat field series. All were executed at the Saint-Paul-de-Mausole mental asylum at Saint-Rémy near Arles, France, where Van Gogh was voluntarily a patient from May 1889 to May 1890. The works were inspired by the view from the window at the asylum towards the Les Alpilles mountains.",2500,93700000 ,57000000,1
Acrobate et jeune arlequin,3,Pablo Picasso,1905,"$75,900,000 ","$38,500,000 ",28/11/1988,1988,heir of Roger Janssen?,Mitsukoshi,Christie's,http://uploads7.wikiart.org/images/pablo-picasso/acrobat-and-young-harlequin-1905.jpg,,,,2500,75900000 ,38500000,2
Adele Bloch-Bauer II,14,Gustav Klimt,1912,"$103,500,000 ","$87,900,000 ",2/11/06,2006,Maria Altmann,,Christie's,http://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Gustav_Klimt_047.jpg/95px-Gustav_Klimt_047.jpg,http://en.wikipedia.org/wiki/Adele_Bloch-Bauer_II,,"Adele Bloch-Bauer II is a 1912 painting by Gustav Klimt. Adele Bloch-Bauer was the wife of Ferdinand Bloch-Bauer, who was a wealthy industrialist who sponsored the arts and supported Gustav Klimt. Adele Bloch-Bauer was the only model to be painted twice by Klimt; she also appeared in the much more famous Portrait of Adele Bloch-Bauer I. Adele's portraits had hung in the family home prior to their seizure by the Nazis during WWII. The Austrian museum where they resided after the war was reluctant to return them to their rightful owners, hence a protracted court battle in the United States and in Austria (see Republic of Austria v. Altmann) ensued, which resulted in five Gustav Klimt paintings being returned to Maria Altmann, the niece of Ferdinand Bloch-Bauer, in January 2006. In November 2006, Christie's auction house sold Portrait of Adele Bloch-Bauer II at auction for almost $88 million, the fourth-highest priced piece of art at auction at the time.",2500,103500000 ,87900000,3
Anna's Light,18,Barnett Newman,1968,"$107,300,000 ","$105,700,000 ",4/10/13,2013,DIC Corp.,,Private sale,http://artpaintingartist.org/wp-content/uploads/2014/02/Annas-Light-by-Barnett-Newman.jpg,,http://en.wikipedia.org/wiki/Barnett_Newman,,2500,107300000 ,105700000,4
Au Lapin Agile,5,Pablo Picasso,1904,"$76,600,000 ","$40,700,000 ",27/11/1989,1989,daughter of Joan Whitney Payson,Walter H. Annenberg,Sotheby's,http://vineartshouston.files.wordpress.com/2012/05/picasso.jpg,,,,2500,76600000 ,40700000,5
"No. 6 (Violet, Green and Red)",2,Mark Rothko,1950,"$186,000,000 ","$190,000,000 ",,,,,,https://upload.wikimedia.org/wikipedia/en/0/03/No._6_%28Violet%2C_Green_and_Red%29.jpg,,,,,186000000 ,190000000,6
Number 17A,4,Jackson Pollock,1948,"$203,000,000 ","$200,000,000 ",,,,,,https://image.jimcdn.com/app/cms/image/transf/dimension=662x10000:format=jpg/path/s093251349da78e77/image/i6b87cf21c7f94e4f/version/1498175596/image.jpg,,,,,203000000 ,200000000,7
Nafea Faa Ipoipo (When Will You Marry?),2,Paul Gauguin,1892,"$213,000,000 ","$210,000,000 ",2,2,2,2,2,https://d32dm0rphc51dk.cloudfront.net/UzPrjx3tr0wO-4dvx_AAYg/larger.jpg,,,,2500,213000000 ,210000000,8
Bal du moulin de la Galette,2,Pierre-Auguste Renoir,1876,"$143,300,000 ","$78,100,000 ",17/05/1990,1990,Betsey Whitney,Ryoei Saito,Sotheby's,http://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Pierre-Auguste_Renoir%2C_Le_Moulin_de_la_Galette.jpg/95px-Pierre-Auguste_Renoir%2C_Le_Moulin_de_la_Galette.jpg,http://en.wikipedia.org/wiki/Bal_du_moulin_de_la_Galette,http://en.wikipedia.org/wiki/Pierre-Auguste_Renoir,"Bal du moulin de la Galette (commonly known as Dance at Le moulin de la Galette) is an 1876 painting by French artist Pierre-Auguste Renoir. It is housed at the Musée d'Orsay in Paris and is one of Impressionisms most celebrated masterpieces. The painting depicts a typical Sunday afternoon at Moulin de la Galette in the district of Montmartre in Paris. In the late 19th century, working class Parisians would dress up and spend time there dancing, drinking, and eating galettes into the evening.:121-3",2500,143300000 ,78100000,9
Black Fire I,35,Barnett Newman,1961,"$84,200,000 ","$84,200,000 ",13/05/2014,2014,Private Collection,Anonymous,Christie's,https://s-media-cache-ak0.pinimg.com/originals/be/f9/16/bef916a6ae3f2bbdee49c95524840e16.jpg,,http://en.wikipedia.org/wiki/Barnett_Newman,,2500,84200000 ,84200000,10
